"","Temp","Species","Medium","Rep","Citation","Time","PopBio","Time_units","PopBio_unts","n","logPopBio","ID"
"20",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",238.55421686747,0.152352016762703,"Hours","OD_595",29,-0.817151792421839,1
"17",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",261.44578313253,0.159242186135848,"Hours","OD_595",29,-0.79794186889114,1
"18",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",286.746987951807,0.173081892788546,"Hours","OD_595",29,-0.761748364090796,1
"15",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",310.843373493976,0.19214248297538,"Hours","OD_595",29,-0.716376601395683,1
"16",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",334.939759036145,0.197290029683953,"Hours","OD_595",29,-0.70489486184691,1
"14",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",359.036144578313,0.221568011175135,"Hours","OD_595",29,-0.654492940572404,1
"12",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",384.33734939759,0.21975554391479,"Hours","OD_595",29,-0.658060159889089,1
"13",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",406.024096385542,0.228388335952506,"Hours","OD_595",29,-0.641326079764258,1
"11",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",431.325301204819,0.235271520866073,"Hours","OD_595",29,-0.62843064009667,1
"10",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",454.21686746988,0.250857342413131,"Hours","OD_595",29,-0.600573182964555,1
"9",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",479.518072289157,0.247305744718002,"Hours","OD_595",29,-0.606765795202185,1
"8",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",502.409638554217,0.245500261917235,"Hours","OD_595",29,-0.609948040204356,1
"7",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",526.506024096385,0.257604330364938,"Hours","OD_595",29,-0.589046840699686,1
"6",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",550.602409638554,0.257534485769164,"Hours","OD_595",29,-0.589164607490972,1
"5",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",574.698795180723,0.273116815086433,"Hours","OD_595",29,-0.563651560664214,1
"4",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",597.590361445783,0.28174611489436,"Hours","OD_595",29,-0.550142063894364,1
"3",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",622.89156626506,0.285151038938362,"Hours","OD_595",29,-0.544925041738438,1
"2",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",646.987951807229,0.283342063907805,"Hours","OD_595",29,-0.547688946951603,1
"1",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",669.879518072289,0.28327571154182,"Hours","OD_595",29,-0.547790660903366,1
"58",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",-4.2632564145606e-14,0.0295652173913047,"Hours","OD_595",29,-1.52921892331135,2
"57",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",22.8915662650603,0.0677597345905362,"Hours","OD_595",29,-1.16902830377079,2
"56",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",46.9879518072289,0.19290728129911,"Hours","OD_595",29,-0.714651379570504,2
"55",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",69.8795180722891,0.304145276759211,"Hours","OD_595",29,-0.516918923548712,2
"54",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",93.9759036144578,0.415379779989523,"Hours","OD_595",29,-0.381554648033716,2
"53",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",118.072289156626,0.500527326698097,"Hours","OD_595",29,-0.300572206875533,2
"52",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",142.168674698795,0.547414003841453,"Hours","OD_595",29,-0.261684096744536,2
"51",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",167.469879518072,0.55429718875502,"Hours","OD_595",29,-0.256257324025757,2
"50",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",190.361445783132,0.552491705954252,"Hours","OD_595",29,-0.257674237254323,2
"49",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",214.457831325301,0.580247948314999,"Hours","OD_595",29,-0.23638638648092,2
"48",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",238.55421686747,0.581917234154007,"Hours","OD_595",29,-0.235138780481189,2
"47",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",263.855421686747,0.574887375589314,"Hours","OD_595",29,-0.24041722826844,2
"46",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",286.746987951807,0.566125371049415,"Hours","OD_595",29,-0.247087381663969,2
"45",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",310.843373493976,0.574751178627554,"Hours","OD_595",29,-0.240520129461175,2
"44",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",334.939759036145,0.574681334031779,"Hours","OD_595",29,-0.240572908762681,2
"43",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",359.036144578313,0.57808975030557,"Hours","OD_595",29,-0.23800473072036,2
"42",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",383.132530120482,0.581498166579361,"Hours","OD_595",29,-0.235451650231701,2
"41",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",406.024096385542,0.564040509865549,"Hours","OD_595",29,-0.248689703500211,2
"40",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",430.120481927711,0.570927187008905,"Hours","OD_595",29,-0.24341927581129,2
"39",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",453.012048192771,0.570860834642919,"Hours","OD_595",29,-0.243469751846937,2
"38",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",478.313253012048,0.560352715208661,"Hours","OD_595",29,-0.251538519336239,2
"37",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",502.409638554217,0.563761131482452,"Hours","OD_595",29,-0.24890486987021,2
"36",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",526.506024096385,0.553256504277981,"Hours","OD_595",29,-0.257073471652071,2
"34",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",550.602409638554,0.553186659682207,"Hours","OD_595",29,-0.257128301621768,2
"35",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",574.698795180723,0.554855945521215,"Hours","OD_595",29,-0.255819755950955,2
"33",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",598.795180722892,0.553046970490658,"Hours","OD_595",29,-0.257237982332495,2
"32",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",621.686746987951,0.556458878994238,"Hours","OD_595",29,-0.254566923486922,2
"31",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",645.78313253012,0.563345556137594,"Hours","OD_595",29,-0.249225127196776,2
"30",5,"Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",669.879518072289,0.566753972411385,"Hours","OD_595",29,-0.246605427195625,2
"87",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",-4.2632564145606e-14,0.00521739130434784,"Hours","OD_595",29,-2.28254658996997,3
"86",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",24.0963855421687,0.0103649380129215,"Hours","OD_595",29,-1.98443329084235,3
"85",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",46.9879518072289,0.0294290204295443,"Hours","OD_595",29,-1.53122419352811,3
"84",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",71.0843373493976,0.121533088877248,"Hours","OD_595",29,-0.915305463955579,3
"83",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",95.1807228915663,0.276245852977126,"Hours","OD_595",29,-0.558704232918305,3
"82",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",119.277108433735,0.390958617077004,"Hours","OD_595",29,-0.407869210190464,3
"81",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",143.373493975904,0.481323555089925,"Hours","OD_595",29,-0.317562884229028,3
"80",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",167.469879518072,0.500384145276759,"Hours","OD_595",29,-0.30069645942606,3
"79",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",191.566265060241,0.519444735463594,"Hours","OD_595",29,-0.284460650917039,3
"78",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",215.66265060241,0.505461847389558,"Hours","OD_595",29,-0.29631161968427,3
"77",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",239.759036144578,0.507131133228566,"Hours","OD_595",29,-0.294879726911545,3
"76",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",263.855421686747,0.487930853850183,"Hours","OD_595",29,-0.311641718814945,3
"75",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",287.951807228916,0.482643617950061,"Hours","OD_595",29,-0.316373432159872,3
"74",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",312.048192771084,0.493008555962982,"Hours","OD_595",29,-0.307145543653263,3
"73",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",334.939759036145,0.482507420988301,"Hours","OD_595",29,-0.31649600279794,3
"72",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",360.240963855422,0.485912345032303,"Hours","OD_595",29,-0.313442067161933,3
"71",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",384.33734939759,0.478885978697398,"Hours","OD_595",29,-0.319767878479409,3
"70",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",407.228915662651,0.478819626331413,"Hours","OD_595",29,-0.319828056609939,3
"69",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",431.325301204819,0.477010651300856,"Hours","OD_595",29,-0.32147192337175,3
"68",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",455.421686746988,0.473462545835516,"Hours","OD_595",29,-0.324714371001415,3
"67",5,"Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",479.518072289157,0.466436179500611,"Hours","OD_595",29,-0.331207770538753,3
