Fake_Data_X,Fake_Data_Y,Hypothesis,Style,r/K
10,5,a,a3,a
11,5.5,a,a3,a
12,6,a,a3,a
13,6.5,a,a3,a
14,7,a,a3,a
15,7.5,a,a3,a
16,8,a,a3,a
17,8.5,a,a3,a
18,9,a,a3,a
19,9.5,a,a3,a
20,10,a,a3,a
1,2,a,a1,a
2,4,a,a1,a
3,6,a,a1,a
4,8,a,a1,a
5,10,a,a1,a
6,12,a,a1,a
7,14,a,a1,a
8,16,a,a1,a
9,18,a,a1,a
10,20,a,a1,a
11,.,a,a1,a
12,.,a,a1,a
13,.,a,a1,a
14,.,a,a1,a
15,.,a,a1,a
16,.,a,a1,a
17,.,a,a1,a
18,.,a,a1,a
19,.,a,a1,a
20,.,a,a1,a
1,1,MTE Tradeoff,a1,r
2,2,MTE Tradeoff,a1,r
3,3,MTE Tradeoff,a1,r
4,4,MTE Tradeoff,a1,r
5,5,MTE Tradeoff,a1,r
6,6,MTE Tradeoff,a1,r
7,7,MTE Tradeoff,a1,r
8,8,MTE Tradeoff,a1,r
9,9,MTE Tradeoff,a1,r
10,10,MTE Tradeoff,a1,r
11,11,MTE Tradeoff,a1,r
12,12,MTE Tradeoff,a1,r
13,13,MTE Tradeoff,a1,r
14,14,MTE Tradeoff,a1,r
15,15,MTE Tradeoff,a1,r
16,16,MTE Tradeoff,a1,r
17,17,MTE Tradeoff,a1,r
18,18,MTE Tradeoff,a1,r
19,19,MTE Tradeoff,a1,r
20,20,MTE Tradeoff,a1,r
1,1,K not temperature dependent,a2,r
2,2,K not temperature dependent,a2,r
3,3,K not temperature dependent,a2,r
4,4,K not temperature dependent,a2,r
5,5,K not temperature dependent,a2,r
6,6,K not temperature dependent,a2,r
7,7,K not temperature dependent,a2,r
8,8,K not temperature dependent,a2,r
9,9,K not temperature dependent,a2,r
10,10,K not temperature dependent,a2,r
11,11,K not temperature dependent,a2,r
12,12,K not temperature dependent,a2,r
13,13,K not temperature dependent,a2,r
14,14,K not temperature dependent,a2,r
15,15,K not temperature dependent,a2,r
16,16,K not temperature dependent,a2,r
17,17,K not temperature dependent,a2,r
18,18,K not temperature dependent,a2,r
19,19,K not temperature dependent,a2,r
20,20,K not temperature dependent,a2,r
1,1,No tradeoff,a3,r
2,2,No tradeoff,a3,r
3,3,No tradeoff,a3,r
4,4,No tradeoff,a3,r
5,5,No tradeoff,a3,r
6,6,No tradeoff,a3,r
7,7,No tradeoff,a3,r
8,8,No tradeoff,a3,r
9,9,No tradeoff,a3,r
10,10,No tradeoff,a3,r
11,11,No tradeoff,a3,r
12,12,No tradeoff,a3,r
13,13,No tradeoff,a3,r
14,14,No tradeoff,a3,r
15,15,No tradeoff,a3,r
16,16,No tradeoff,a3,r
17,17,No tradeoff,a3,r
18,18,No tradeoff,a3,r
19,19,No tradeoff,a3,r
20,20,No tradeoff,a3,r
