"discrete_curve","model","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation","r","K","t_lag","N_0","r.t.value","K.t.value","t_lag.t.value","N_0.t.value"
12,"gompertz",5,"Hours","OD_595","Stenotrophomonas.maltophilia.2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00912324824752627,5.1050733002949,1428.53898785156,0,3.40220174004447e-09,3.1621782848839e-09,5.09182776612474e-08,0
13,"baranyi",5,"Hours","OD_595","Klebsiella.pneumonia","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00515058671447337,3.26171929103097,3362.0514603964,0,1.3975270851099e-07,3.09611659770972e-08,1.74321602847016e-07,0
14,"gompertz",5,"Hours","OD_595","Dickeya.zeae","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",5.30590977712482e-06,4.85206632262192,2079461.94393724,0,2.29588988700307e-23,2.2230964412159e-23,4.94952002991252e-22,0
16,"gompertz",5,"Hours","OD_595","Pantoea.agglomerans..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000224883503790502,1.10739921296708,13543.9124286443,0,5.89329251523772e-31,5.79548808559654e-31,2.7660814682513e-29,0
18,"gompertz",5,"Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00604801040941525,1.86717521733199,1356.16293977231,0,1.7324240547543e-22,1.68801277431088e-22,9.31691067286203e-21,0
19,"gompertz",5,"Hours","OD_595","Stenotrophomonas.maltophilia..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00061834475184736,3.23217015959877,8933.41085350394,0,8.73870377139237e-12,8.24415873361238e-12,1.0237214235424e-10,0
20,"gompertz",5,"Hours","OD_595","Klebsiella.pneumonia..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00230521356416882,4.014838041888,5964.68723732685,0,1.87488700635238e-48,1.85603947997042e-48,1.6221230871863e-46,0
22,"gompertz",5,"Hours","OD_595","Clavibacter.michiganensis..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",4.44323061067153e-06,2.1198255363777,834950.677829245,0,1.42335713170552e-15,1.34973572278395e-15,1.80072346068837e-14,0
23,"gompertz",15,"Hours","OD_595","Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",4.85598769838143e-05,3.1132937350269,102550.986613288,0,6.17388771553554e-14,5.80878944070636e-14,6.56289046756413e-13,0
24,"gompertz",15,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000417528796224811,1.49243801238326,58.1091158681809,0,5.12117569316416e-05,2.54320521068813e-05,1.69385482748546e-06,0
27,"gompertz",15,"Hours","OD_595","Bacillus.pumilus","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000161885926293809,2.98166437665829,40429.822468971,0,5.82572720942921e-21,5.65790248138461e-21,1.43494965088518e-19,0
28,"gompertz",15,"Hours","OD_595","Clavibacter.michiganensis","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",9.14334139697098e-06,3.21747726985231,599281.697981925,0,6.59995968764459e-15,6.27121229841002e-15,8.3596541770106e-14,0
29,"gompertz",15,"Hours","OD_595","Pseudomonas.fluorescens.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000150144889928894,2.83879679691007,38985.4803554949,0,1.00518035369584e-18,9.71173194560976e-19,2.06373839432785e-17,0
30,"gompertz",15,"Hours","OD_595","Pseudomonas.fluorescens.2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00771451168984416,2.65269133894506,1026.12512001441,0,8.29717017389374e-12,7.84979509521353e-12,1.75552073225382e-10,0
31,"gompertz",15,"Hours","OD_595","Acinetobacter.clacoaceticus.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0015604026953273,2.49943152916391,2618.77349084435,0,2.81916553249683e-09,2.61295998540997e-09,2.63618025778214e-08,0
32,"gompertz",15,"Hours","OD_595","Acinetobacter.clacoaceticus.2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00198264214951473,3.3648970145458,3453.28719798129,0,3.11371763579637e-13,2.97337389704123e-13,5.11158106208506e-12,0
33,"gompertz",15,"Hours","OD_595","Stenotrophomonas.maltophilia.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",9.52425766933781e-06,0.967896640586909,310570.549382902,0,5.16258534922219e-49,5.11025061992979e-49,3.95620250459608e-47,0
34,"gompertz",15,"Hours","OD_595","Stenotrophomonas.maltophilia.2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00806890198154162,8.11751961081102,2316.64712641689,0,9.34117834195538e-14,8.95391189291144e-14,1.84424291321444e-12,0
35,"gompertz",15,"Hours","OD_595","Klebsiella.pneumonia","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00404391926965386,0.656216481201031,319.456136672472,0,0.0565617591159847,0.0187315412942876,0.139762452071175,0
36,"gompertz",15,"Hours","OD_595","Dickeya.zeae","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0114451932710825,10.3550480814794,1271.47996254021,0,1.31568363114118e-05,1.15639463844523e-05,7.50074478262139e-05,0
37,"gompertz",15,"Hours","OD_595","Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",7.49925545662397e-06,2.06752135827562,409240.86093791,0,2.42544539199047e-13,2.26210891356003e-13,2.17832832315271e-12,0
38,"gompertz",15,"Hours","OD_595","Pantoea.agglomerans..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000210627967755045,3.22872575511491,19944.4462113563,0,7.99526692791394e-11,7.29852899231093e-11,5.27951042186135e-10,0
39,"gompertz",15,"Hours","OD_595","Dickeya.zeae..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.017169563701622,7.11109895234993,875.025072225078,0,2.5919448428914e-06,2.30754286777576e-06,2.36999626133736e-05,0
40,"gompertz",15,"Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000377236129280971,1.83592950682138,21170.0764633506,0,0,0,0,0
41,"gompertz",15,"Hours","OD_595","Stenotrophomonas.maltophilia..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00226099211708399,2.60712909013826,2652.80969569225,0,4.22261120043784e-15,4.05927646748357e-15,8.76178463505469e-14,0
42,"gompertz",15,"Hours","OD_595","Klebsiella.pneumonia..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",6.88720950815858e-06,2.24428706876398,507917.437792099,0,1.73852241759524e-13,1.63720787797607e-13,1.796516596971e-12,0
43,"gompertz",15,"Hours","OD_595","Bacillus.pumilus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",6.30602800571996e-10,0,21.0914693734558,5.3217301895859e-09,2.39771785020079e-10,0,3.31281767552419e-10,8.77237864612542e-10
44,"gompertz",15,"Hours","OD_595","Clavibacter.michiganensis..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",2.10528021245432e-06,2.10953973919706,2004894.38643761,0,1.22199662807961e-18,1.19868343372425e-18,1.55333201170875e-17,0
45,"gompertz",25,"Hours","OD_595","Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00582370921048387,3.31329233797197,1230.13229304599,0,1.05706039533049e-14,1.01397073366285e-14,1.98379618622282e-13,0
46,"gompertz",25,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",3.65280878430391e-05,4.10179347727254,166249.990986076,0,1.07502637198388e-12,1.00316667113429e-12,9.68463560522835e-12,0
47,"gompertz",25,"Hours","OD_595","Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0042955816031008,3.5792288272876,1639.13207268172,0,3.34234933776273e-13,3.18717681584318e-13,5.19299140275853e-12,0
48,"gompertz",25,"Hours","OD_595","Pantoea.agglomerans.2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000844849736212906,5.9210711783155,8681.72499990626,0,1.25750133545123e-10,1.13940385099576e-10,7.51401591471447e-10,0
49,"gompertz",25,"Hours","OD_595","Bacillus.pumilus","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",2.6473479207802e-06,2.38670120677101,3342325.32482185,0,3.01464625186982e-99,3.0124262048829e-99,2.88455546644612e-98,0
50,"gompertz",25,"Hours","OD_595","Clavibacter.michiganensis","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",2.43904473890782e-05,1.237736367137,190771.566161102,0,3.26182830892532e-105,3.24779497018252e-105,6.11586242427379e-103,0
51,"gompertz",25,"Hours","OD_595","Pseudomonas.fluorescens.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",1.26577857889822e-05,2.97688695350213,947481.938276111,0,2.53737416895285e-142,2.53892833022178e-142,3.97128615395781e-140,0
52,"gompertz",25,"Hours","OD_595","Pseudomonas.fluorescens.2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000660313324176314,3.74167115242547,11369.4857966465,0,3.83639619687539e-18,3.69750564124187e-18,7.29087834747779e-17,0
53,"gompertz",25,"Hours","OD_595","Acinetobacter.clacoaceticus.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",9.03745181948162e-05,1.26699182431272,41206.4704376749,0,1.41806626487051e-43,1.40155486522662e-43,9.37682197968417e-42,0
54,"gompertz",25,"Hours","OD_595","Acinetobacter.clacoaceticus.2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",2.85290126423008e-05,3.55104803962229,292948.884724278,0,4.18090732205257e-25,4.09909581728507e-25,1.42509580676787e-23,0
55,"baranyi",25,"Hours","OD_595","Stenotrophomonas.maltophilia.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",2.66599666610395,0,1.0303473319762,0.0838081296555604,0.000254385249974623,0,0.000414114000194318,0.0257435236487596
56,"gompertz",25,"Hours","OD_595","Stenotrophomonas.maltophilia.2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",1.21085345071961e-05,2.0999590501326,643969.68495438,0,6.05271331759282e-100,6.01690313946202e-100,7.36116858504036e-98,0
57,"gompertz",25,"Hours","OD_595","Klebsiella.pneumonia","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000304796156275043,1.71696433308714,22463.3434816987,0,2.05455911403365e-133,2.04783032920044e-133,5.11803588707396e-131,0
58,"baranyi",25,"Hours","OD_595","Dickeya.zeae","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0019163849193704,0.213724568599235,8.32641877595809,0,1.56828099687469e-05,2.73670005958145e-05,4.57372681312371e-07,0
59,"gompertz",25,"Hours","OD_595","Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",1.60565478549015e-05,3.7022228430597,720341.877419495,0,1.34270796509793e-52,1.33351056215372e-52,3.99636363082358e-51,0
60,"baranyi",25,"Hours","OD_595","Pantoea.agglomerans..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00196205858955565,0.762545592958263,1.0007110887951,0,3.15781739041089e-05,2.65732768251768e-05,1.08918667061276e-07,0
61,"gompertz",25,"Hours","OD_595","Dickeya.zeae..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000305076033711648,0.726990989855566,8831.17465615648,0,1.46913824649265e-94,1.46199637859977e-94,2.4648347456612e-92,0
62,"gompertz",25,"Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00110269478471568,1.18009912028703,2686.66046272422,0,6.98306625940284e-25,6.83019687811629e-25,2.41928857423208e-23,0
63,"baranyi",25,"Hours","OD_595","Stenotrophomonas.maltophilia..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0042808178750325,1.58873711975106,4.23859557269188,0,0.000307360018910856,8.01492196555374e-05,8.63780852029987e-06,0
64,"gompertz",25,"Hours","OD_595","Klebsiella.pneumonia..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000485568276224241,3.41483363435106,12687.1950422883,0,1.71572442542424e-15,1.63638516225911e-15,2.45259089013456e-14,0
65,"gompertz",25,"Hours","OD_595","Bacillus.pumilus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",6.97723510549794e-05,1.75676408020807,73513.0752956218,0,8.09935482708592e-43,8.00315462116152e-43,5.23622370254112e-41,0
66,"gompertz",25,"Hours","OD_595","Clavibacter.michiganensis..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",1.75788367074795e-05,1.45511909903609,209292.85698188,0,1.15070751044383e-29,1.12894563883014e-29,4.46329019869675e-28,0
67,"gompertz",35,"Hours","OD_595","Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",7.44135917972565e-05,1.73556113971251,62069.4931813875,0,3.01659498576495e-33,2.9685606339237e-33,1.41440460290859e-31,0
68,"gompertz",35,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00294141054942057,2.71271796617037,1785.90676269837,0,9.10259175749229e-14,8.7015296550382e-14,1.44597602838364e-12,0
69,"gompertz",35,"Hours","OD_595","Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00246172763241366,4.45629053054656,2917.06693575364,0,9.30205171466132e-12,8.73301052535109e-12,9.72479570940551e-11,0
