"","discrete_curve","Estimate","Std. Error","t value","Pr(>|t|)","parameter","model","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation"
"11",46,0.952127659574468,169389.165211535,5.62094782382001e-06,0.999995600473099,"N_max","buchanan",25,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"12",46,-452.717256058991,4796.82510477412,-0.0943785204110145,0.926247652646652,"t_lag","gompertz",25,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"13",46,0.305791070303593,5.84388037900351,0.0523267162350329,0.959063894249509,"r_max","gompertz",25,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"14",46,1.11398205234306,0.225569696722363,4.93852706515884,0.000270895711951584,"N_0","gompertz",25,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"15",46,-239.396812945151,5616.93959006391,-0.0426205069694238,0.966651718256022,"N_max","gompertz",25,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"16",124,0.005246990633782,0.0012871818712279,4.07633975514017,0.00113333377732575,"r_max","logistic",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"17",124,0.0484269139443285,0.00674418419616308,7.18054438250362,4.70530989109332e-06,"N_0","logistic",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"18",124,-3898928.82054623,23256642132213.1,-1.67647969056796e-07,0.999999868601728,"N_max","logistic",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"19",124,-1947.58923578168,109326.11563104,-0.0178144922147835,0.986057356146881,"t_lag","baranyi",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"20",124,0.000794930465997743,0.0281093596901571,0.028279920807876,0.977868427318896,"r_max","baranyi",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"21",124,0.0116110046389234,0.00464186730838524,2.50136504719747,0.0265204241480085,"N_0","baranyi",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"22",124,0.495261280507896,2.98545035554569,0.165891648336376,0.870794399534851,"N_max","baranyi",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"23",124,-7.44069200319157,34777144.0874181,-2.13953508789801e-07,0.999999832538168,"t_lag","buchanan",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"24",124,0.00156661906552035,7.93734153752203e-05,19.7373271405105,4.48755095854027e-11,"r_max","buchanan",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"25",124,0.0188853572110729,23661.4662859692,7.98148220521375e-07,0.99999937528782,"N_0","buchanan",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"26",124,0.227918113587991,0.0102561607746699,22.2225566267341,1.00107706264304e-11,"N_max","buchanan",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"27",124,-830.150857572109,6651.85855157104,-0.124799836186541,0.902591208633775,"t_lag","gompertz",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"28",124,0.00616357511063778,0.0889220114818167,0.0693143914304969,0.945794232527744,"r_max","gompertz",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"29",124,-1.81546883553456,35.0454100269972,-0.0518033270016249,0.95947295456953,"N_0","gompertz",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"30",124,0.341605315191968,0.216773877717979,1.5758601487786,0.139072009570393,"N_max","gompertz",22,"Hours","mg*C*(g^-1)","Soil Microbial Community","H2OB",1,"Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"31",230,0.004833927856892,0.00233082329975315,2.07391433636516,0.0834343208413225,"r_max","logistic",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"32",230,1.63218857038962,0.417355983688002,3.91078272310043,0.00788528066571574,"N_0","logistic",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"33",230,14.7166175719234,11.9204996869132,1.23456381514609,0.263147021704031,"N_max","logistic",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"34",230,214.873801640623,6.12015174668685,35.1092277666065,3.52719908478141e-07,"t_lag","baranyi",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"35",230,0.0894466847417326,0.00484248196861577,18.4712478686422,8.55618920327382e-06,"r_max","baranyi",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"36",230,2.3260109871192,0.0478033226561774,48.6579354294867,6.92742971827295e-08,"N_0","baranyi",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"37",230,8.37303499322539,0.116433744380159,71.9124428901575,9.84882193434749e-09,"N_max","baranyi",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"38",230,207.647628351752,3.73383228591103,55.6124679555839,3.55581909160988e-08,"t_lag","buchanan",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"39",230,0.084051161330505,0.0032164474210175,26.1316758300734,1.53347754261256e-06,"r_max","buchanan",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"40",230,2.32803674719292,0.0482842363733412,48.2152545437849,7.25073474473212e-08,"N_0","buchanan",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"41",230,8.37298400816604,0.118271741532676,70.7944594343593,1.06507338045072e-08,"N_max","buchanan",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"42",230,219.918206579868,6.28556515037963,34.9878175340503,3.58860744285795e-07,"t_lag","gompertz",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"43",230,0.103953466845655,0.00691385491420847,15.0355291130022,2.35691790017869e-05,"r_max","gompertz",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"44",230,2.32679677855595,0.0482026879853366,48.2711001358216,7.20896591021093e-08,"N_0","gompertz",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"45",230,8.42876314219256,0.129889824698582,64.8916353667585,1.64534085135243e-08,"N_max","gompertz",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"46",231,0.00615574077262563,0.00229518885871042,2.68201928101215,0.0364379714425888,"r_max","logistic",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"47",231,0.98358825017019,0.307099615820296,3.20283126223691,0.0185337555373202,"N_0","logistic",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"48",231,10.5930541701614,4.98048990200606,2.1269100788448,0.0775396198733266,"N_max","logistic",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"49",231,199.291897925274,2.08570749918299,95.5512208702997,2.3801983015439e-09,"t_lag","baranyi",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"50",231,0.069759625937253,0.00123956476771715,56.2775159104646,3.35089791477541e-08,"r_max","baranyi",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"51",231,1.56895248255133,0.0161471716473219,97.1657771911741,2.18899357705088e-09,"N_0","baranyi",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"52",231,7.1383006489579,0.0386240340053939,184.814994931938,8.79997863368243e-11,"N_max","baranyi",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"53",231,194.45870094137,1.63812431036649,118.708146696062,8.04583436439302e-10,"t_lag","buchanan",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"54",231,0.0669995558702849,0.00102538481673909,65.3408893681063,1.58960564012404e-08,"r_max","buchanan",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"55",231,1.57556141544743,0.0155604348360514,101.254330746405,1.78148460272242e-09,"N_0","buchanan",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"56",231,7.13822728819326,0.0381151256358579,187.280696812862,8.23580625674401e-11,"N_max","buchanan",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"57",231,203.241777477647,2.08525966381846,97.4659324227647,2.1555095485338e-09,"t_lag","gompertz",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"58",231,0.0775188997171489,0.00167633997715438,46.2429464032343,8.93105665766155e-08,"r_max","gompertz",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"59",231,1.56938898939812,0.0162498221915822,96.5788407340915,2.25629138382094e-09,"N_0","gompertz",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"60",231,7.26056016176327,0.0477031851576328,152.202837981806,2.32267939286908e-10,"N_max","gompertz",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"61",233,0.01171313577975,0.00330729735440321,3.54160346790577,0.0121952221645586,"r_max","logistic",15,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"62",233,1.38621071872263,0.457767901239615,3.02819554400567,0.0231515968258746,"N_0","logistic",15,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"63",233,8.92167530671827,0.963921388113144,9.25560467558694,8.98742045730137e-05,"N_max","logistic",15,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"64",233,127.956536401908,3.94740920673344,32.4153209613133,5.24969413386827e-07,"t_lag","baranyi",15,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"65",233,0.136484928250851,0.00786805718902696,17.3467127871411,1.16647996763227e-05,"r_max","baranyi",15,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
"66",233,2.32823493694179,0.0584530755209228,39.8308372347049,1.88052094173381e-07,"N_0","baranyi",15,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289"
