"ID","bacterial_genus","replicate","minute","trait_name","trait_value","Temperature"
"Sch_AE103_02","Flavobacterium",2,540,"Absorbance (600nm) continuous",0.148,22
"Sch_AE103_02","Flavobacterium",2,570,"Absorbance (600nm) continuous",0.152,22
"Sch_AE103_02","Flavobacterium",2,600,"Absorbance (600nm) continuous",0.155,22
"Sch_AE103_02","Flavobacterium",2,630,"Absorbance (600nm) continuous",0.157,22
"Sch_AE103_02","Flavobacterium",2,660,"Absorbance (600nm) continuous",0.152,22
"Sch_AE103_02","Flavobacterium",2,690,"Absorbance (600nm) continuous",0.16,22
"Sch_AE103_02","Flavobacterium",2,720,"Absorbance (600nm) continuous",0.157,22
"Sch_AE103_02","Flavobacterium",2,750,"Absorbance (600nm) continuous",0.166,22
"Sch_AE103_02","Flavobacterium",2,780,"Absorbance (600nm) continuous",0.175,22
"Sch_AE103_02","Flavobacterium",2,810,"Absorbance (600nm) continuous",0.169,22
"Sch_AE103_02","Flavobacterium",2,840,"Absorbance (600nm) continuous",0.179,22
"Sch_AE103_02","Flavobacterium",2,870,"Absorbance (600nm) continuous",0.165,22
"Sch_AE103_02","Flavobacterium",2,900,"Absorbance (600nm) continuous",0.176,22
"Sch_AE103_02","Flavobacterium",2,930,"Absorbance (600nm) continuous",0.178,22
"Sch_AE103_02","Flavobacterium",2,960,"Absorbance (600nm) continuous",0.172,22
"Sch_AE103_02","Flavobacterium",2,990,"Absorbance (600nm) continuous",0.175,22
"Sch_AE103_02","Flavobacterium",2,1020,"Absorbance (600nm) continuous",0.18,22
"Sch_AE103_02","Flavobacterium",2,1050,"Absorbance (600nm) continuous",0.184,22
"Sch_AE103_02","Flavobacterium",2,1080,"Absorbance (600nm) continuous",0.177,22
"Sch_AE103_02","Flavobacterium",2,1110,"Absorbance (600nm) continuous",0.181,22
"Sch_AE103_02","Flavobacterium",3,0,"Absorbance (600nm) continuous",0.098,22
"Sch_AE103_02","Flavobacterium",3,30,"Absorbance (600nm) continuous",0.098,22
"Sch_AE103_02","Flavobacterium",3,60,"Absorbance (600nm) continuous",0.099,22
"Sch_AE103_02","Flavobacterium",3,90,"Absorbance (600nm) continuous",0.1,22
"Sch_AE103_02","Flavobacterium",3,120,"Absorbance (600nm) continuous",0.1,22
"Sch_AE103_02","Flavobacterium",3,150,"Absorbance (600nm) continuous",0.1,22
"Sch_AE103_02","Flavobacterium",3,180,"Absorbance (600nm) continuous",0.101,22
"Sch_AE103_02","Flavobacterium",3,210,"Absorbance (600nm) continuous",0.102,22
"Sch_AE103_02","Flavobacterium",3,240,"Absorbance (600nm) continuous",0.102,22
"Sch_AE103_02","Flavobacterium",3,270,"Absorbance (600nm) continuous",0.103,22
"Sch_AE103_02","Flavobacterium",3,300,"Absorbance (600nm) continuous",0.105,22
"Sch_AE103_02","Flavobacterium",3,330,"Absorbance (600nm) continuous",0.107,22
"Sch_AE103_02","Flavobacterium",3,360,"Absorbance (600nm) continuous",0.11,22
"Sch_AE103_02","Flavobacterium",3,390,"Absorbance (600nm) continuous",0.114,22
"Sch_AE103_02","Flavobacterium",3,420,"Absorbance (600nm) continuous",0.119,22
"Sch_AE103_02","Flavobacterium",3,450,"Absorbance (600nm) continuous",0.126,22
"Sch_AE103_02","Flavobacterium",3,480,"Absorbance (600nm) continuous",0.144,22
"Sch_AE103_02","Flavobacterium",3,510,"Absorbance (600nm) continuous",0.154,22
"Sch_AE103_02","Flavobacterium",3,540,"Absorbance (600nm) continuous",0.161,22
"Sch_AE103_02","Flavobacterium",3,570,"Absorbance (600nm) continuous",0.156,22
"Sch_AE103_02","Flavobacterium",3,600,"Absorbance (600nm) continuous",0.158,22
"Sch_AE103_02","Flavobacterium",3,630,"Absorbance (600nm) continuous",0.16,22
"Sch_AE103_02","Flavobacterium",3,660,"Absorbance (600nm) continuous",0.155,22
"Sch_AE103_02","Flavobacterium",3,690,"Absorbance (600nm) continuous",0.159,22
"Sch_AE103_02","Flavobacterium",3,720,"Absorbance (600nm) continuous",0.158,22
"Sch_AE103_02","Flavobacterium",3,750,"Absorbance (600nm) continuous",0.16,22
"Sch_AE103_02","Flavobacterium",3,780,"Absorbance (600nm) continuous",0.163,22
"Sch_AE103_02","Flavobacterium",3,810,"Absorbance (600nm) continuous",0.164,22
"Sch_AE103_02","Flavobacterium",3,840,"Absorbance (600nm) continuous",0.161,22
"Sch_AE103_02","Flavobacterium",3,870,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",3,900,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",3,930,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",3,960,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",3,990,"Absorbance (600nm) continuous",0.169,22
"Sch_AE103_02","Flavobacterium",3,1020,"Absorbance (600nm) continuous",0.174,22
"Sch_AE103_02","Flavobacterium",3,1050,"Absorbance (600nm) continuous",0.174,22
"Sch_AE103_02","Flavobacterium",3,1080,"Absorbance (600nm) continuous",0.176,22
"Sch_AE103_02","Flavobacterium",3,1110,"Absorbance (600nm) continuous",0.173,22
"Sch_AE103_02","Flavobacterium",4,0,"Absorbance (600nm) continuous",0.096,22
"Sch_AE103_02","Flavobacterium",4,30,"Absorbance (600nm) continuous",0.097,22
"Sch_AE103_02","Flavobacterium",4,60,"Absorbance (600nm) continuous",0.098,22
"Sch_AE103_02","Flavobacterium",4,90,"Absorbance (600nm) continuous",0.098,22
"Sch_AE103_02","Flavobacterium",4,120,"Absorbance (600nm) continuous",0.099,22
"Sch_AE103_02","Flavobacterium",4,150,"Absorbance (600nm) continuous",0.099,22
"Sch_AE103_02","Flavobacterium",4,180,"Absorbance (600nm) continuous",0.1,22
"Sch_AE103_02","Flavobacterium",4,210,"Absorbance (600nm) continuous",0.101,22
"Sch_AE103_02","Flavobacterium",4,240,"Absorbance (600nm) continuous",0.101,22
"Sch_AE103_02","Flavobacterium",4,270,"Absorbance (600nm) continuous",0.102,22
"Sch_AE103_02","Flavobacterium",4,300,"Absorbance (600nm) continuous",0.103,22
"Sch_AE103_02","Flavobacterium",4,330,"Absorbance (600nm) continuous",0.105,22
"Sch_AE103_02","Flavobacterium",4,360,"Absorbance (600nm) continuous",0.107,22
"Sch_AE103_02","Flavobacterium",4,390,"Absorbance (600nm) continuous",0.109,22
"Sch_AE103_02","Flavobacterium",4,420,"Absorbance (600nm) continuous",0.113,22
"Sch_AE103_02","Flavobacterium",4,450,"Absorbance (600nm) continuous",0.12,22
"Sch_AE103_02","Flavobacterium",4,480,"Absorbance (600nm) continuous",0.127,22
"Sch_AE103_02","Flavobacterium",4,510,"Absorbance (600nm) continuous",0.146,22
"Sch_AE103_02","Flavobacterium",4,540,"Absorbance (600nm) continuous",0.162,22
"Sch_AE103_02","Flavobacterium",4,570,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",4,600,"Absorbance (600nm) continuous",0.163,22
"Sch_AE103_02","Flavobacterium",4,630,"Absorbance (600nm) continuous",0.161,22
"Sch_AE103_02","Flavobacterium",4,660,"Absorbance (600nm) continuous",0.164,22
"Sch_AE103_02","Flavobacterium",4,690,"Absorbance (600nm) continuous",0.16,22
"Sch_AE103_02","Flavobacterium",4,720,"Absorbance (600nm) continuous",0.161,22
"Sch_AE103_02","Flavobacterium",4,750,"Absorbance (600nm) continuous",0.162,22
"Sch_AE103_02","Flavobacterium",4,780,"Absorbance (600nm) continuous",0.16,22
"Sch_AE103_02","Flavobacterium",4,810,"Absorbance (600nm) continuous",0.168,22
"Sch_AE103_02","Flavobacterium",4,840,"Absorbance (600nm) continuous",0.17,22
"Sch_AE103_02","Flavobacterium",4,870,"Absorbance (600nm) continuous",0.168,22
"Sch_AE103_02","Flavobacterium",4,900,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",4,930,"Absorbance (600nm) continuous",0.169,22
"Sch_AE103_02","Flavobacterium",4,960,"Absorbance (600nm) continuous",0.166,22
"Sch_AE103_02","Flavobacterium",4,990,"Absorbance (600nm) continuous",0.168,22
"Sch_AE103_02","Flavobacterium",4,1020,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",4,1050,"Absorbance (600nm) continuous",0.17,22
"Sch_AE103_02","Flavobacterium",4,1080,"Absorbance (600nm) continuous",0.17,22
"Sch_AE103_02","Flavobacterium",4,1110,"Absorbance (600nm) continuous",0.17,22
"Sch_BB22_01","Pseudomonas(1)",1,0,"Absorbance (600nm) continuous",0.092,22
"Sch_BB22_01","Pseudomonas(1)",1,30,"Absorbance (600nm) continuous",0.093,22
"Sch_BB22_01","Pseudomonas(1)",1,60,"Absorbance (600nm) continuous",0.094,22
"Sch_BB22_01","Pseudomonas(1)",1,90,"Absorbance (600nm) continuous",0.094,22
"Sch_BB22_01","Pseudomonas(1)",1,120,"Absorbance (600nm) continuous",0.094,22
"Sch_BB22_01","Pseudomonas(1)",1,150,"Absorbance (600nm) continuous",0.094,22
"Sch_BB22_01","Pseudomonas(1)",1,180,"Absorbance (600nm) continuous",0.094,22
"Sch_BB22_01","Pseudomonas(1)",1,210,"Absorbance (600nm) continuous",0.095,22
"Sch_BB22_01","Pseudomonas(1)",1,240,"Absorbance (600nm) continuous",0.094,22
"Sch_BB22_01","Pseudomonas(1)",1,270,"Absorbance (600nm) continuous",0.094,22
"Sch_BB22_01","Pseudomonas(1)",1,300,"Absorbance (600nm) continuous",0.095,22
"Sch_BB22_01","Pseudomonas(1)",1,330,"Absorbance (600nm) continuous",0.095,22
"Sch_BB22_01","Pseudomonas(1)",1,360,"Absorbance (600nm) continuous",0.095,22
"Sch_BB22_01","Pseudomonas(1)",1,390,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",1,420,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",1,450,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",1,480,"Absorbance (600nm) continuous",0.098,22
"Sch_BB22_01","Pseudomonas(1)",1,510,"Absorbance (600nm) continuous",0.099,22
"Sch_BB22_01","Pseudomonas(1)",1,540,"Absorbance (600nm) continuous",0.1,22
"Sch_BB22_01","Pseudomonas(1)",1,570,"Absorbance (600nm) continuous",0.102,22
"Sch_BB22_01","Pseudomonas(1)",1,600,"Absorbance (600nm) continuous",0.105,22
"Sch_BB22_01","Pseudomonas(1)",1,630,"Absorbance (600nm) continuous",0.109,22
"Sch_BB22_01","Pseudomonas(1)",1,660,"Absorbance (600nm) continuous",0.115,22
"Sch_BB22_01","Pseudomonas(1)",1,690,"Absorbance (600nm) continuous",0.119,22
"Sch_BB22_01","Pseudomonas(1)",1,720,"Absorbance (600nm) continuous",0.125,22
"Sch_BB22_01","Pseudomonas(1)",1,750,"Absorbance (600nm) continuous",0.131,22
"Sch_BB22_01","Pseudomonas(1)",1,780,"Absorbance (600nm) continuous",0.14,22
"Sch_BB22_01","Pseudomonas(1)",1,810,"Absorbance (600nm) continuous",0.135,22
"Sch_BB22_01","Pseudomonas(1)",1,840,"Absorbance (600nm) continuous",0.136,22
"Sch_BB22_01","Pseudomonas(1)",1,870,"Absorbance (600nm) continuous",0.134,22
"Sch_BB22_01","Pseudomonas(1)",1,900,"Absorbance (600nm) continuous",0.132,22
"Sch_BB22_01","Pseudomonas(1)",1,930,"Absorbance (600nm) continuous",0.133,22
"Sch_BB22_01","Pseudomonas(1)",1,960,"Absorbance (600nm) continuous",0.134,22
"Sch_BB22_01","Pseudomonas(1)",1,990,"Absorbance (600nm) continuous",0.136,22
"Sch_BB22_01","Pseudomonas(1)",1,1020,"Absorbance (600nm) continuous",0.138,22
"Sch_BB22_01","Pseudomonas(1)",1,1050,"Absorbance (600nm) continuous",0.138,22
"Sch_BB22_01","Pseudomonas(1)",1,1080,"Absorbance (600nm) continuous",0.138,22
"Sch_BB22_01","Pseudomonas(1)",1,1110,"Absorbance (600nm) continuous",0.138,22
"Sch_BB22_01","Pseudomonas(1)",2,0,"Absorbance (600nm) continuous",0.095,22
"Sch_BB22_01","Pseudomonas(1)",2,30,"Absorbance (600nm) continuous",0.095,22
"Sch_BB22_01","Pseudomonas(1)",2,60,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",2,90,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",2,120,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",2,150,"Absorbance (600nm) continuous",0.1,22
"Sch_BB22_01","Pseudomonas(1)",2,180,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",2,210,"Absorbance (600nm) continuous",0.098,22
"Sch_BB22_01","Pseudomonas(1)",2,240,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",2,270,"Absorbance (600nm) continuous",0.098,22
"Sch_BB22_01","Pseudomonas(1)",2,300,"Absorbance (600nm) continuous",0.098,22
"Sch_BB22_01","Pseudomonas(1)",2,330,"Absorbance (600nm) continuous",0.098,22
"Sch_BB22_01","Pseudomonas(1)",2,360,"Absorbance (600nm) continuous",0.099,22
"Sch_BB22_01","Pseudomonas(1)",2,390,"Absorbance (600nm) continuous",0.1,22
"Sch_BB22_01","Pseudomonas(1)",2,420,"Absorbance (600nm) continuous",0.102,22
"Sch_BB22_01","Pseudomonas(1)",2,450,"Absorbance (600nm) continuous",0.105,22
"Sch_BB22_01","Pseudomonas(1)",2,480,"Absorbance (600nm) continuous",0.106,22
"Sch_BB22_01","Pseudomonas(1)",2,510,"Absorbance (600nm) continuous",0.111,22
"Sch_BB22_01","Pseudomonas(1)",2,540,"Absorbance (600nm) continuous",0.116,22
"Sch_BB22_01","Pseudomonas(1)",2,570,"Absorbance (600nm) continuous",0.12,22
"Sch_BB22_01","Pseudomonas(1)",2,600,"Absorbance (600nm) continuous",0.126,22
"Sch_BB22_01","Pseudomonas(1)",2,630,"Absorbance (600nm) continuous",0.133,22
"Sch_BB22_01","Pseudomonas(1)",2,660,"Absorbance (600nm) continuous",0.137,22
"Sch_BB22_01","Pseudomonas(1)",2,690,"Absorbance (600nm) continuous",0.14,22
"Sch_BB22_01","Pseudomonas(1)",2,720,"Absorbance (600nm) continuous",0.143,22
"Sch_BB22_01","Pseudomonas(1)",2,750,"Absorbance (600nm) continuous",0.143,22
"Sch_BB22_01","Pseudomonas(1)",2,780,"Absorbance (600nm) continuous",0.143,22
"Sch_BB22_01","Pseudomonas(1)",2,810,"Absorbance (600nm) continuous",0.141,22
"Sch_BB22_01","Pseudomonas(1)",2,840,"Absorbance (600nm) continuous",0.141,22
"Sch_BB22_01","Pseudomonas(1)",2,870,"Absorbance (600nm) continuous",0.142,22
"Sch_BB22_01","Pseudomonas(1)",2,900,"Absorbance (600nm) continuous",0.142,22
"Sch_BB22_01","Pseudomonas(1)",2,930,"Absorbance (600nm) continuous",0.143,22
"Sch_BB22_01","Pseudomonas(1)",2,960,"Absorbance (600nm) continuous",0.144,22
"Sch_BB22_01","Pseudomonas(1)",2,990,"Absorbance (600nm) continuous",0.145,22
"Sch_BB22_01","Pseudomonas(1)",2,1020,"Absorbance (600nm) continuous",0.147,22
"Sch_BB22_01","Pseudomonas(1)",2,1050,"Absorbance (600nm) continuous",0.148,22
"Sch_BB22_01","Pseudomonas(1)",2,1080,"Absorbance (600nm) continuous",0.148,22
"Sch_BB22_01","Pseudomonas(1)",2,1110,"Absorbance (600nm) continuous",0.149,22
"Sch_BB22_01","Pseudomonas(1)",3,0,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",3,30,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",3,60,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",3,90,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",3,120,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",3,150,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",3,180,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",3,210,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",3,240,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",3,270,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",3,300,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",3,330,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",3,360,"Absorbance (600nm) continuous",0.098,22
"Sch_BB22_01","Pseudomonas(1)",3,390,"Absorbance (600nm) continuous",0.098,22
"Sch_BB22_01","Pseudomonas(1)",3,420,"Absorbance (600nm) continuous",0.099,22
"Sch_BB22_01","Pseudomonas(1)",3,450,"Absorbance (600nm) continuous",0.1,22
"Sch_BB22_01","Pseudomonas(1)",3,480,"Absorbance (600nm) continuous",0.102,22
"Sch_BB22_01","Pseudomonas(1)",3,510,"Absorbance (600nm) continuous",0.104,22
"Sch_BB22_01","Pseudomonas(1)",3,540,"Absorbance (600nm) continuous",0.107,22
"Sch_BB22_01","Pseudomonas(1)",3,570,"Absorbance (600nm) continuous",0.111,22
"Sch_BB22_01","Pseudomonas(1)",3,600,"Absorbance (600nm) continuous",0.116,22
"Sch_BB22_01","Pseudomonas(1)",3,630,"Absorbance (600nm) continuous",0.123,22
"Sch_BB22_01","Pseudomonas(1)",3,660,"Absorbance (600nm) continuous",0.13,22
"Sch_BB22_01","Pseudomonas(1)",3,690,"Absorbance (600nm) continuous",0.135,22
"Sch_BB22_01","Pseudomonas(1)",3,720,"Absorbance (600nm) continuous",0.136,22
"Sch_BB22_01","Pseudomonas(1)",3,750,"Absorbance (600nm) continuous",0.134,22
"Sch_BB22_01","Pseudomonas(1)",3,780,"Absorbance (600nm) continuous",0.133,22
"Sch_BB22_01","Pseudomonas(1)",3,810,"Absorbance (600nm) continuous",0.131,22
"Sch_BB22_01","Pseudomonas(1)",3,840,"Absorbance (600nm) continuous",0.131,22
"Sch_BB22_01","Pseudomonas(1)",3,870,"Absorbance (600nm) continuous",0.133,22
"Sch_BB22_01","Pseudomonas(1)",3,900,"Absorbance (600nm) continuous",0.136,22
"Sch_BB22_01","Pseudomonas(1)",3,930,"Absorbance (600nm) continuous",0.138,22
"Sch_BB22_01","Pseudomonas(1)",3,960,"Absorbance (600nm) continuous",0.139,22
"Sch_BB22_01","Pseudomonas(1)",3,990,"Absorbance (600nm) continuous",0.14,22
"Sch_BB22_01","Pseudomonas(1)",3,1020,"Absorbance (600nm) continuous",0.141,22
"Sch_BB22_01","Pseudomonas(1)",3,1050,"Absorbance (600nm) continuous",0.14,22
"Sch_BB22_01","Pseudomonas(1)",3,1080,"Absorbance (600nm) continuous",0.141,22
"Sch_BB22_01","Pseudomonas(1)",3,1110,"Absorbance (600nm) continuous",0.141,22
"Sch_BB22_01","Pseudomonas(1)",4,0,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",4,30,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",4,60,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",4,90,"Absorbance (600nm) continuous",0.096,22
"Sch_BB22_01","Pseudomonas(1)",4,120,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",4,150,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",4,180,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",4,210,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",4,240,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",4,270,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",4,300,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",4,330,"Absorbance (600nm) continuous",0.098,22
"Sch_BB22_01","Pseudomonas(1)",4,360,"Absorbance (600nm) continuous",0.098,22
"Sch_BB22_01","Pseudomonas(1)",4,390,"Absorbance (600nm) continuous",0.097,22
"Sch_BB22_01","Pseudomonas(1)",4,420,"Absorbance (600nm) continuous",0.098,22
"Sch_BB22_01","Pseudomonas(1)",4,450,"Absorbance (600nm) continuous",0.098,22
"Sch_BB22_01","Pseudomonas(1)",4,480,"Absorbance (600nm) continuous",0.099,22
"Sch_BB22_01","Pseudomonas(1)",4,510,"Absorbance (600nm) continuous",0.099,22
"Sch_BB22_01","Pseudomonas(1)",4,540,"Absorbance (600nm) continuous",0.1,22
"Sch_BB22_01","Pseudomonas(1)",4,570,"Absorbance (600nm) continuous",0.101,22
"Sch_BB22_01","Pseudomonas(1)",4,600,"Absorbance (600nm) continuous",0.103,22
"Sch_BB22_01","Pseudomonas(1)",4,630,"Absorbance (600nm) continuous",0.105,22
"Sch_BB22_01","Pseudomonas(1)",4,660,"Absorbance (600nm) continuous",0.108,22
"Sch_BB22_01","Pseudomonas(1)",4,690,"Absorbance (600nm) continuous",0.113,22
"Sch_BB22_01","Pseudomonas(1)",4,720,"Absorbance (600nm) continuous",0.12,22
"Sch_BB22_01","Pseudomonas(1)",4,750,"Absorbance (600nm) continuous",0.127,22
"Sch_BB22_01","Pseudomonas(1)",4,780,"Absorbance (600nm) continuous",0.134,22
"Sch_BB22_01","Pseudomonas(1)",4,810,"Absorbance (600nm) continuous",0.14,22
"Sch_BB22_01","Pseudomonas(1)",4,840,"Absorbance (600nm) continuous",0.139,22
"Sch_BB22_01","Pseudomonas(1)",4,870,"Absorbance (600nm) continuous",0.138,22
"Sch_BB22_01","Pseudomonas(1)",4,900,"Absorbance (600nm) continuous",0.138,22
"Sch_BB22_01","Pseudomonas(1)",4,930,"Absorbance (600nm) continuous",0.14,22
"Sch_BB22_01","Pseudomonas(1)",4,960,"Absorbance (600nm) continuous",0.14,22
"Sch_BB22_01","Pseudomonas(1)",4,990,"Absorbance (600nm) continuous",0.142,22
"Sch_BB22_01","Pseudomonas(1)",4,1020,"Absorbance (600nm) continuous",0.144,22
"Sch_BB22_01","Pseudomonas(1)",4,1050,"Absorbance (600nm) continuous",0.144,22
"Sch_BB22_01","Pseudomonas(1)",4,1080,"Absorbance (600nm) continuous",0.144,22
"Sch_BB22_01","Pseudomonas(1)",4,1110,"Absorbance (600nm) continuous",0.145,22
"Sch_BB22_02","Rahnella",1,0,"Absorbance (600nm) continuous",0.087,22
