"X"	"Time"	"PopBio"	"Temp"	"Time_units"	"PopBio_units"	"Species"	"Medium"	"Rep"	"Citation"	"ID"	"logPopBio"
"16"	16	334.939759036145	0.197290029683953	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.70489486184691
"17"	17	261.44578313253	0.159242186135848	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.79794186889114
"18"	18	286.746987951807	0.173081892788546	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.761748364090796
"19"	19	215.66265060241	0.140244456085211	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.853114297552648
"20"	20	238.55421686747	0.152352016762703	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.817151792421839
"21"	21	190.361445783133	0.119448227693382	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.922820289687185
"22"	22	166.265060240964	0.103865898376113	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.983527018160554
"23"	23	142.168674698795	0.0848053081892789	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-1.07157696324844
"24"	24	119.277108433735	0.0622629649030908	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-1.20577020247147
"25"	25	95.1807228915663	0.044941505151039	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-1.347352386571
"26"	26	71.0843373493976	0.0328374367033352	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-1.48363075134082
"27"	27	46.9879518072289	0.0189942378208487	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-1.72137812863417
"28"	28	22.8915662650602	0.00862929980792748	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-2.06402444204726
"29"	29	-1.4210854715202e-14	0.00521739130434795	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-2.28254658996996
"30"	30	669.879518072289	0.566753972411385	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.246605427195625
"31"	31	645.78313253012	0.563345556137594	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.249225127196776
"32"	32	621.686746987951	0.556458878994238	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.254566923486922
"33"	33	598.795180722892	0.553046970490658	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.257237982332495
"34"	34	550.602409638554	0.553186659682207	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.257128301621768
"35"	35	574.698795180723	0.554855945521215	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.255819755950955
"36"	36	526.506024096385	0.553256504277981	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.257073471652071
"37"	37	502.409638554217	0.563761131482452	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.24890486987021
"38"	38	478.313253012048	0.560352715208661	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.251538519336239
"39"	39	453.012048192771	0.570860834642919	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.243469751846937
"40"	40	430.120481927711	0.570927187008905	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.24341927581129
"41"	41	406.024096385542	0.564040509865549	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.248689703500211
"42"	42	383.132530120482	0.581498166579361	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.235451650231701
"43"	43	359.036144578313	0.57808975030557	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.23800473072036
"44"	44	334.939759036145	0.574681334031779	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.240572908762681
"45"	45	310.843373493976	0.574751178627554	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.240520129461175
"46"	46	286.746987951807	0.566125371049415	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.247087381663969
"47"	47	263.855421686747	0.574887375589314	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.24041722826844
"48"	48	238.55421686747	0.581917234154007	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.235138780481189
"49"	49	214.457831325301	0.580247948314999	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.23638638648092
"50"	50	190.361445783132	0.552491705954252	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.257674237254323
"51"	51	167.469879518072	0.55429718875502	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.256257324025757
"52"	52	142.168674698795	0.547414003841453	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.261684096744536
"53"	53	118.072289156626	0.500527326698097	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.300572206875533
"54"	54	93.9759036144578	0.415379779989523	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.381554648033716
"55"	55	69.8795180722891	0.304145276759211	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.516918923548712
"56"	56	46.9879518072289	0.19290728129911	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-0.714651379570504
"57"	57	22.8915662650603	0.0677597345905362	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-1.16902830377079
"58"	58	-4.2632564145606e-14	0.0295652173913047	5	"Hours"	"OD_595"	"Enterobacter.sp."	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	2	-1.52921892331135
"59"	59	671.084337349398	0.420663523659857	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.376065144650564
"60"	60	646.987951807229	0.431168150864327	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.365353326705188
"61"	61	622.89156626506	0.438194517199232	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.358333060743857
"62"	62	600	0.44695652173913	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.349734721358336
"63"	63	574.698795180723	0.452247249869041	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.344624065419683
"64"	64	551.807228915663	0.448835341365462	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.347912953989611
"65"	65	527.710843373494	0.452383446830802	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.344493294731473
"66"	66	503.614457831325	0.469844595774402	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.328045764102565
"67"	67	479.518072289157	0.466436179500611	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.331207770538753
"68"	68	455.421686746988	0.473462545835516	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.324714371001415
"69"	69	431.325301204819	0.477010651300856	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.32147192337175
"70"	70	407.228915662651	0.478819626331413	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.319828056609939
"71"	71	384.33734939759	0.478885978697398	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.319767878479409
"72"	72	360.240963855422	0.485912345032303	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.313442067161933
"73"	73	334.939759036145	0.482507420988301	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.31649600279794
"74"	74	312.048192771084	0.493008555962982	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.307145543653263
"75"	75	287.951807228916	0.482643617950061	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.316373432159872
"76"	76	263.855421686747	0.487930853850183	5	"Hours"	"OD_595"	"Pantoea.agglomerans.1"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	3	-0.311641718814945
